Name,State,Party,Incumbent (yes/no),Chamber,Twitter Handle,Official Candidate
Patrick Awtrey,Ohio 14,Republican,no,House of representatives,PatrickAwtrey,no
Bevin Cormack,Ohio 14,Republican,no,House of representatives,bevin_cormack,no
Gary Josephson,Ohio 15,Democratic,no,House of representatives,NA,yes
Mike Carey,Ohio 15,Republican,yes,House of representatives,MikeCareyOH15 ; RepMikeCarey,yes
Adam Martin,Oklahoma 1,Democratic,no,House of representatives,AdamMartin4OK,yes
Kevin Hern,Oklahoma 1,Republican,yes,House of representatives,repkevinhern ; krhern,yes
Naomi Andrews,Oklahoma 2,Democratic,no,House of representatives,NaomiForOK,yes
Guy Barker,Oklahoma 2,Republican,no,House of representatives,GuySBarker,
John R. Bennett,Oklahoma 2,Republican,no,House of representatives,NA,
Josh Brecheen,Oklahoma 2,Republican,no,House of representatives,Brecheen4OK,
David Derby,Oklahoma 2,Republican,no,House of representatives,NA,
Avery Frix,Oklahoma 2,Republican,no,House of representatives,averyfrix,
Pamela Gordon,Oklahoma 2,Republican,no,House of representatives,VotePamGordon,
Rhonda Hopkins,Oklahoma 2,Republican,no,House of representatives,NA,
Clint Johnson,Oklahoma 2,Republican,no,House of representatives,ClintJOk,
Wes Nofire,Oklahoma 2,Republican,no,House of representatives,Nofireboxing,
Marty Quinn,Oklahoma 2,Republican,no,House of representatives,NA,
Dustin Roberts,Oklahoma 2,Republican,no,House of representatives,dustinrobertsOK,
Chris Schiller,Oklahoma 2,Republican,no,House of representatives,SchillerforOK,
Johnny Teehee,Oklahoma 2,Republican,no,House of representatives,TeeheeJohnny,
Erick Wyatt,Oklahoma 2,Republican,no,House of representatives,ErickWyatt7,
Jeremiah Ross,Oklahoma 3,Democratic,no,House of representatives,NA,yes
Wade Burleson,Oklahoma 3,Republican,no,House of representatives,Burleson4USRep,
Stephen Butler,Oklahoma 3,Republican,no,House of representatives,NA,
Frank Lucas,Oklahoma 3,Republican,yes,House of representatives,RepFrankLucas,
Mary Brannon,Oklahoma 4,Democratic,no,House of representatives,ElectBrannon,yes
James Taylor,Oklahoma 4,Republican,no,House of representatives,Taylor4Oklahoma,
Tom Cole,Oklahoma 4,Republican,yes,House of representatives,TomColeOK04,
Frank Blacke,Oklahoma 4,Republican,no,House of representatives,NA,
Joshua Harris-Till,Oklahoma 5,Democratic,no,House of representatives,JHarrisTill ; JHTforCongress,yes
Subrina Banks,Oklahoma 5,Republican,no,House of representatives,subrinaBanks,
Stephanie Bice,Oklahoma 5,Republican,yes,House of representatives,stephaniebice ; RepBice,
Suzanne Bonamici,Oregon 1,Democratic,yes,House of representatives,RepBonamici,yes
Scott Phillips,Oregon 1,Democratic,no,House of representatives,NA,no
Christian Robertson,Oregon 1,Democratic,no,House of representatives,NA,no
Christopher A. Mann,Oregon 1,Republican,no,House of representatives,Manning4USCong,yes
Armidia Murray,Oregon 1,Republican,no,House of representatives,NA,no
Adam Prine,Oregon 2,Democratic,no,House of representatives,PrineTime,no
Joseph Yetter III,Oregon 2,Democratic,no,House of representatives,JoeForOregon,yes
Cliff Bentz,Oregon 2,Republican,yes,House of representatives,CliffBentz ; RepBentz,yes
Mark Cavener,Oregon 2,Republican,no,House of representatives,markcavener,no
Katherine Gallant,Oregon 2,Republican,no,House of representatives,gallant_kat,no
Earl Blumenauer,Oregon 3,Democratic,yes,House of representatives,repblumenauer,yes
Jonathan E. Polhemus,Oregon 3,Democratic,no,House of representatives,USPolhemus,no
Joanna Harbour,Oregon 3,Republican,no,House of representatives,joanna4oregon,yes
Sami Al-Abdrabbuh,Oregon 4,Democratic,no,House of representatives,SamiOregon,no
Doyle Canning,Oregon 4,Democratic,no,House of representatives,Canning4Oregon,no
Val Hoyle,Oregon 4,Democratic,no,House of representatives,ValHoyle,yes
Andrew Kalloch,Oregon 4,Democratic,no,House of representatives,AndrewKalloch,no
Steve Laible,Oregon 4,Democratic,no,House of representatives,SteveLaible,no
Jake Matthews,Oregon 4,Democratic,no,House of representatives,NA,no
John Selker,Oregon 4,Democratic,no,House of representatives,JohnSelker,no
G. Tommy Smith,Oregon 4,Democratic,no,House of representatives,NA,no
Joshua Welch,Oregon 4,Democratic,no,House of representatives,NA,no
Alek Skarlatos,Oregon 4,Republican,no,House of representatives,alekskarlatos,yes
Jamie McLeod-Skinner,Oregon 5,Democratic,no,House of representatives,JamieforOregon,
Kurt Schrader,Oregon 5,Democratic,yes,House of representatives,RepSchrader ; VoteSchrader,
Lori Chavez-DeRemer,Oregon 5,Republican,no,House of representatives,LChavezDeRemer,yes
Jimmy Crumpacker,Oregon 5,Republican,no,House of representatives,VoteCrumpacker,no
John Di Paola,Oregon 5,Republican,no,House of representatives,DrJohnDiPaola,no
Laurel L. Roses,Oregon 5,Republican,no,House of representatives,NA,no
Madison Oatman,Oregon 5,Republican,no,House of representatives,NA,no
Teresa Alonso Leon,Oregon 6,Democratic,no,House of representatives,Teresa4Oregon,no
Ricky Barajas,Oregon 6,Democratic,no,House of representatives,RickyBarajas4OR,no
Carrick Flynn,Oregon 6,Democratic,no,House of representatives,CarrickFlynnOR,no
Kathleen Harder,Oregon 6,Democratic,no,House of representatives,DrHarderOR,no
Greg Goodwin,Oregon 6,Democratic,no,House of representatives,NA,no
Derry Jackson,Oregon 6,Democratic,no,House of representatives,NA,no
Cody Reynolds,Oregon 6,Democratic,no,House of representatives,CodyForOregon,no
Andrea Salinas,Oregon 6,Democratic,no,House of representatives,AndreaRSalinas,yes
Loretta Smith,Oregon 6,Democratic,no,House of representatives,LorettaSmithOR,no
Matt West,Oregon 6,Democratic,no,House of representatives,mattdwest,no
Jim Bunn,Oregon 6,Republican,no,House of representatives,NA,no
Amy Ryan Courser,Oregon 6,Republican,no,House of representatives,AmyforOregon,no
Mike Erickson,Oregon 6,Republican,no,House of representatives,NA,
Ron Noble,Oregon 6,Republican,no,House of representatives,NobleForOregon,
Angela Plowhead,Oregon 6,Republican,no,House of representatives,angelafororegon,no
David Russ,Oregon 6,Republican,no,House of representatives,NA,no
Nate Sandvig,Oregon 6,Republican,no,House of representatives,sandvig_nate,no
Ashley Ehasz,Pennsylvania 1,Democratic,no,House of representatives,ashley_ehasz,yes
Alex Entin,Pennsylvania 1,Republican,no,House of representatives,ElectEntinforPA,no
Brian Fitzpatrick,Pennsylvania 1,Republican,yes,House of representatives,BrianFitzUSA ; RepBrianFitz,yes
Brendan Boyle,Pennsylvania 2,Democratic,yes,House of representatives,RepBrendanBoyle ; CongBoyle,yes
Gilberto Gonzales,Pennsylvania 2,Democratic,no,House of representatives,Gilbert45676603,no
Salem Snow,Pennsylvania 2,Democratic,no,House of representatives,Salem4Congress,no
Aaron Bashir,Pennsylvania 2,Republican,no,House of representatives,aaron_bashir,yes
Dwight Evans,Pennsylvania 3,Democratic,yes,House of representatives,DwightEvansPA ; RepDwightEvans,yes
Alexandra Hunt,Pennsylvania 3,Democratic,no,House of representatives,ahunt4congress,no
Austin Rodill,Pennsylvania 3,Democratic,no,House of representatives,rodill4congress,no
TBD,Pennsylvania 3,Republican,no,House of representatives,NA,
Madeleine Dean,Pennsylvania 4,Democratic,yes,House of representatives,MadeleineDean ; RepDean,yes
Christian Nascimento,Pennsylvania 4,Republican,no,House of representatives,CN4PA4,yes
Mary Gay Scanlon,Pennsylvania 5,Democratic,yes,House of representatives,marygayscanlon ; RepMGS,yes
David Galluch,Pennsylvania 5,Republican,no,House of representatives,DaveGalluchPA,yes
Chrissy Houlahan,Pennsylvania 6,Democratic,yes,House of representatives,RepHoulahan ; HoulahanForPa,yes
Guy Ciarrocchi,Pennsylvania 6,Republican,no,House of representatives,guyciarrocchi,
Steve Fanelli,Pennsylvania 6,Republican,no,House of representatives,FanelliCongress,
Bob Kennedy,Pennsylvania 6,Republican,no,House of representatives,BobKennedyPA,no
Regina Mauro,Pennsylvania 6,Republican,no,House of representatives,ReginaMMauro,no
Ron Vogel,Pennsylvania 6,Republican,no,House of representatives,ForVogel,no
Susan Wild,Pennsylvania 7,Democratic,yes,House of representatives,RepSusanWild ; wildforcongress,yes
Kevin Dellicker,Pennsylvania 7,Republican,no,House of representatives,DellickerForPA,
Lisa Scheller,Pennsylvania 7,Republican,no,House of representatives,SchellerforPA,
Matt Cartwright,Pennsylvania 8,Democratic,yes,House of representatives,RepCartwright ; CartwrightPA,yes
Jim Bognet,Pennsylvania 8,Republican,no,House of representatives,Bognet4congress,yes
Michael Marsicano,Pennsylvania 8,Republican,no,House of representatives,MarsicanoPA8,no
Amanda Waldman,Pennsylvania 9,Democratic,no,House of representatives,Waldman4PA,yes
Dan Meuser,Pennsylvania 9,Republican,yes,House of representatives,Meuser4Congress ; RepMeuser,yes
Rick Coplen,Pennsylvania 10,Democratic,no,House of representatives,rick_coplen,
Shamaine Daniels,Pennsylvania 10,Democratic,no,House of representatives,ShamaineDaniels,
Brian Allen,Pennsylvania 10,Republican,no,House of representatives,ElectBrianAllen,no
Scott Perry,Pennsylvania 10,Republican,yes,House of representatives,RepScottPerry ; PatriotsPerry,yes
Robert Michael Hollister III,Pennsylvania 11,Democratic,no,House of representatives,Hollister4PA,yes
Lloyd Smucker,Pennsylvania 11,Republican,yes,House of representatives,LloydSmuckerPA ; RepSmucker,yes
Jerry Dickinson,Pennsylvania 12,Democratic,no,House of representatives,JerrySDickinson,no
Steve Irwin,Pennsylvania 12,Democratic,no,House of representatives,SteveIrwinPA,
Summer Lee,Pennsylvania 12,Democratic,no,House of representatives,SummerForPA ; RepSummerLee,
Jeff Woodard,Pennsylvania 12,Democratic,no,House of representatives,NA,no
Michael Doyle,Pennsylvania 12,Republican,no,House of representatives,NA,yes
TBD,Pennsylvania 13,Democratic,no,House of representatives,NA,
John Joyce,Pennsylvania 13,Republican,yes,House of representatives,JohnJoyceForPA ; RepJohnJoyce,yes
TBD,Pennsylvania 14,Democratic,no,House of representatives,NA,
Guy Reschenthaler,Pennsylvania 14,Republican,yes,House of representatives,reschenthaler ; GReschenthaler,yes
Ronnie Ray Jenkins,Pennsylvania 15,Democratic,no,House of representatives,Realrrjenkins,
Glenn Thompson,Pennsylvania 15,Republican,yes,House of representatives,CongressmanGT ; GT_TeamGT,yes
Dan Pastore,Pennsylvania 16,Democratic,no,House of representatives,DanPastorePA,yes
Rick Telesz,Pennsylvania 16,Democratic,no,House of representatives,NA,no
Mike Kelly,Pennsylvania 16,Republican,yes,House of representatives,MikeKellyPA ; MikeKellyforPA,yes
Chris Deluzio,Pennsylvania 17,Democratic,no,House of representatives,ChrisForPA,yes
Sean Meloy,Pennsylvania 17,Democratic,no,House of representatives,MeloySM,no
Kathy Coder,Pennsylvania 17,Republican,no,House of representatives,KathyCoder,no
Jason Killmeyer,Pennsylvania 17,Republican,no,House of representatives,JasonKillmeyer,no
Jeremy Shaffer,Pennsylvania 17,Republican,no,House of representatives,JeremyShafferPA,yes
Tricia Staible,Pennsylvania 17,Republican,no,House of representatives,TriciaStaible,no
James Tomshay,Pennsylvania 17,Republican,no,House of representatives,NA,no
TBD,Rhode Island 1,Democratic,no,House of representatives,NA,
Allen Waters,Rhode Island 1,Republican,no,House of representatives,AllenRWaters,
Fred Wysocki,Rhode Island 1,Republican,no,House of representatives,NA,
Omar Bah,Rhode Island 2,Democratic,no,House of representatives,bah_omar,
Joy Fox,Rhode Island 2,Democratic,no,House of representatives,JoyFoxRI,
Seth Magaziner,Rhode Island 2,Democratic,no,House of representatives,SethMagaziner ; RITreasury,
Sarah Morgenthau,Rhode Island 2,Democratic,no,House of representatives,SarahForRI,
Cameron Moquin,Rhode Island 2,Democratic,no,House of representatives,cameron_moquin,
David Segal,Rhode Island 2,Democratic,no,House of representatives,SegalforRI,
Allan Fung,Rhode Island 2,Republican,no,House of representatives,AllanFungRI,
Robert Lancia,Rhode Island 2,Republican,no,House of representatives,BobLancia,
Annie Andrews,South Carolina 1,Democratic,no,House of representatives,AnnieAndrewsMD,
Katie Arrington,South Carolina 1,Republican,no,House of representatives,karringtonsc,
Nancy Mace,South Carolina 1,Republican,yes,House of representatives,NancyMace ; RepNancyMace,
Lynz Piper-Loomis,South Carolina 1,Republican,no,House of representatives,LynzPiperLoomis,
Juddson Larkins,South Carolina 2,Democratic,no,House of representatives,JuddForCongress,
Joe Wilson,South Carolina 2,Republican,yes,House of representatives,RepJoeWilson ; TeamJoeWilson,
TBD,South Carolina 3,Democratic,no,House of representatives,NA,
Jeff Duncan,South Carolina 3,Republican,yes,House of representatives,Duncan4Congress ; RepJeffDuncan,
Ken Hill,South Carolina 4,Democratic,no,House of representatives,NA,
George Abuzeid,South Carolina 4,Republican,no,House of representatives,GeorgeAbuzeidSC,
Mark Burns,South Carolina 4,Republican,no,House of representatives,pastormarkburns,
Michael LaPierre,South Carolina 4,Republican,no,House of representatives,NA,
William Timmons,South Carolina 4,Republican,yes,House of representatives,VoteTimmons ; RepTimmons,
Kevin Eckert,South Carolina 5,Democratic,no,House of representatives,KevinCongressSC,
Evangeline Hundley,South Carolina 5,Democratic,no,House of representatives,district5eva,
Ralph Norman,South Carolina 5,Republican,yes,House of representatives,RalphNorman ; RepRalphNorman,
Michael Addison,South Carolina 6,Democratic,no,House of representatives,NA,
Jim Clyburn,South Carolina 6,Democratic,yes,House of representatives,WhipClyburn ; ClyburnSC06,
Gregg Marcel Dixon,South Carolina 6,Democratic,no,House of representatives,Marcel4Congress,
Duke Buckner,South Carolina 6,Republican,no,House of representatives,NA,
Sonia Morris,South Carolina 6,Republican,no,House of representatives,SCCongressSonia,
Daryl W. Scott,South Carolina 7,Democratic,no,House of representatives,NA,
Barbara Arthur,South Carolina 7,Republican,no,House of representatives,NA,
Garrett Barton,South Carolina 7,Republican,no,House of representatives,GarrettBartonSC,
Russell Fry,South Carolina 7,Republican,no,House of representatives,RussellFrySC,
Mark McBride,South Carolina 7,Republican,no,House of representatives,MarkMcBrideUS,
Spencer Morris,South Carolina 7,Republican,no,House of representatives,NA,
Tom Rice,South Carolina 7,Republican,yes,House of representatives,TomRiceSC7 ; RepTomRice,
Ken Richardson,South Carolina 7,Republican,no,House of representatives,NA,
TBD,South Dakota 1,Democratic,no,House of representatives,NA,
Taffy Howard,South Dakota 1,Republican,no,House of representatives,taffy_howard,
Dusty Johnson,South Dakota 1,Republican,yes,House of representatives,RepDustyJohnson ; DustyJohnson,
Cameron Parsons,Tennessee 1,Democratic,no,House of representatives,CParsonsTN1,
Diana Harshbarger,Tennessee 1,Republican,yes,House of representatives,DHarshbargerTN1 ; RepHarshbarger,
Chuck Miller,Tennessee 1,Republican,no,House of representatives,ChuckMiller58,
Mark Harmon,Tennessee 2,Democratic,no,House of representatives,Harmon4Congress,
Tim Burchett,Tennessee 2,Republican,yes,House of representatives,timburchett ; RepTimBurchett,
Meg Gorman,Tennessee 3,Democratic,no,House of representatives,Meg4Congress,
Sandy Casey,Tennessee 3,Republican,no,House of representatives,NA,
Dewitt Ferrell,Tennessee 3,Republican,no,House of representatives,NA,
Chuck Fleischmann,Tennessee 3,Republican,no,House of representatives,RepChuck ; chuck4congress,
Russell Steele,Tennessee 4,Democratic,no,House of representatives,Steele4Congress,
Arnold White,Tennessee 4,Democratic,no,House of representatives,NA,
Scott DesJarlais,Tennessee 4,Republican,yes,House of representatives,DesJarlaisTN04 ; tndesjarlais,
Charles Dean Smith,Tennessee 4,Republican,no,House of representatives,NA,
Heidi Campbell,Tennessee 5,Democratic,no,House of representatives,Campbell4TN,
Justicia Rizzo,Tennessee 5,Democratic,no,House of representatives,JerseyRizzo,
Natisha Brooks,Tennessee 5,Republican,no,House of representatives,NatishaBrooks16,
Beth Harwell,Tennessee 5,Republican,no,House of representatives,BethHarwellTN,
Andy Ogles,Tennessee 5,Republican,no,House of representatives,AndyOgles,
Kurt Winstead,Tennessee 5,Republican,no,House of representatives,KurtWinstead,
Geni Batchelor,Tennessee 5,Republican,no,House of representatives,GigiBatch,
Tres Wittum,Tennessee 5,Republican,no,House of representatives,TresWittum,
Stewart Parks,Tennessee 5,Republican,no,House of representatives,NA,
Timothy Bruce Lee,Tennessee 5,Republican,no,House of representatives,Timothy57763167,
Randal Cooper,Tennessee 6,Democratic,no,House of representatives,CooperforTN6,
Lloyd Dunn,Tennessee 6,Democratic,no,House of representatives,UNN4TN,
Clay Faircloth,Tennessee 6,Democratic,no,House of representatives,NA,
John Rose,Tennessee 6,Republican,yes,House of representatives,RepJohnRose ; JohnRoseforTN,
Odessa Kelly,Tennessee 7,Democratic,no,House of representatives,OdessaKellyTN,
Mark Green,Tennessee 7,Republican,yes,House of representatives,RepMarkGreen ; DrMarkGreen4TN,
Tim McDonald,Tennessee 8,Democratic,no,House of representatives,NA,
Lynnette Williams,Tennessee 8,Democratic,no,House of representatives,NA,
Danny Ray Bridger Jr.,Tennessee 8,Republican,no,House of representatives,NA,
Gary Clouse,Tennessee 8,Republican,no,House of representatives,NA,
Bob Hendry,Tennessee 8,Republican,no,House of representatives,Bob_Hendry_4TN,
David Kustoff,Tennessee 8,Republican,yes,House of representatives,DavidKustoff ; RepDavidKustoff,
M. Latroy Alexandria-Williams,Tennessee 9,Democratic,no,House of representatives,NA,
Steve Cohen,Tennessee 9,Democratic,no,House of representatives,RepCohen,
Ollie Oneal Nelson,Tennessee 9,Democratic,no,House of representatives,NA,
Charlotte Bergmann,Tennessee 9,Republican,no,House of representatives,ElectBergmann,
Brown Dudley,Tennessee 9,Republican,no,House of representatives,TeamBrownDudley,
Victor Dunn,Texas 1,Democratic,no,House of representatives,victordunn,
Jrmar Jefferson,Texas 1,Democratic,no,House of representatives,JrmarJefferson,
Nathaniel Moran,Texas 1,Republican,no,House of representatives,moran4congress,yes
Aditya Atholi,Texas 1,Republican,no,House of representatives,Atholi4Congress,no
Joe McDaniel II,Texas 1,Republican,no,House of representatives,JOEMCD2,no
John Porro,Texas 1,Republican,no,House of representatives,JohnPorro4TX,no
Robin Fulford,Texas 2,Democratic,no,House of representatives,RobinFulfordTX,yes
Dan Crenshaw,Texas 2,Republican,yes,House of representatives,DanCrenshawTX ; RepDanCrenshaw,yes
Jameson Ellis,Texas 2,Republican,no,House of representatives,thejamesonellis,no
Martin Etwop,Texas 2,Republican,no,House of representatives,MartinEtwop,no
Milam Langella,Texas 2,Republican,no,House of representatives,Milam2022,no
Sandeep Srivastava,Texas 3,Democratic,no,House of representatives,sandeepfortexas,yes
Doc Shelby,Texas 3,Democratic,no,House of representatives,docshelby2022,no
Keith Self,Texas 3,Republican,no,House of representatives,SelfForCongress,yes
Suzanne Harp,Texas 3,Republican,no,House of representatives,RealSuzanneHarp,no
Jeremy Ivanovskis,Texas 3,Republican,no,House of representatives,NA,no
Rickey Williams,Texas 3,Republican,no,House of representatives,rickey4congress,no
Iro Omere,Texas 4,Democratic,no,House of representatives,IroghamaTX,yes
Pat Fallon,Texas 4,Republican,yes,House of representatives,FallonForTexas ; RepPatFallon,yes
Dan Thomas,Texas 4,Republican,no,House of representatives,DanNewsMan,no
John Harper,Texas 4,Republican,no,House of representatives,NA,no
Tartisha Hill,Texas 5,Democratic,no,House of representatives,TartishaHill,yes
Kathleen Bailey,Texas 5,Democratic,no,House of representatives,KCBailey2022,no
Lance Gooden,Texas 5,Republican,yes,House of representatives,Lancegooden,yes
TBD,Texas 6,Democratic,no,House of representatives,NA,
Jake Ellzey,Texas 6,Republican,yes,House of representatives,JakeEllzey ; RepEllzey,yes
James Buford,Texas 6,Republican,no,House of representatives,NA,no
Bill Payne,Texas 6,Republican,no,House of representatives,NA,no
Lizzie Fletcher,Texas 7,Democratic,yes,House of representatives,RepFletcher ; Lizzie4Congress,yes
Tim Stroud,Texas 7,Republican,no,House of representatives,timthearmymedic,
Johnny Teague,Texas 7,Republican,no,House of representatives,for_teague,
Rudy Atencio,Texas 7,Republican,no,House of representatives,rudy_atencio,no
Tina Blum Cohen,Texas 7,Republican,no,House of representatives,NA,no
Benson Gitau,Texas 7,Republican,no,House of representatives,ibensongitau,no
Laique Rehman,Texas 7,Republican,no,House of representatives,LaiqueRehman1,no
Lance Stewart,Texas 7,Republican,no,House of representatives,Lance4TX,no
Laura Jones,Texas 8,Democratic,no,House of representatives,CongressLaura,yes
Morgan Luttrell,Texas 8,Republican,no,House of representatives,MLuttrellTX,yes
Betsy Bates,Texas 8,Republican,no,House of representatives,NA,no
Candice Burrows,Texas 8,Republican,no,House of representatives,CandiceCBurrows,no
Christian Collins,Texas 8,Republican,no,House of representatives,CollinsforTX,no
Jonathan Hullihan,Texas 8,Republican,no,House of representatives,JHullihanTX,no
Dan McKaughan,Texas 8,Republican,no,House of representatives,DanMcKaughanTX,no
Jonathan Mitchell,Texas 8,Republican,no,House of representatives,JMitchellforTX,no
Chuck Montgomery,Texas 8,Republican,no,House of representatives,NA,no
Michael Philips,Texas 8,Republican,no,House of representatives,NA,no
Jessica Wellington,Texas 8,Republican,no,House of representatives,JWellingtonTX,no
Taylor Whichard,Texas 8,Republican,no,House of representatives,WhichardIv,no
Al Green,Texas 9,Democratic,yes,House of representatives,RepAlGreen ; RepAlGreenTX,yes
Jimmy Leon,Texas 9,Republican,no,House of representatives,NA,yes
Linda Nuno,Texas 10,Democratic,no,House of representatives,LNCongressTX_10,yes
Michael McCaul,Texas 10,Republican,yes,House of representatives,RepMcCaul,yes
TBD,Texas 11,Democratic,no,House of representatives,NA,
August Pfluger,Texas 11,Republican,yes,House of representatives,AugustPfluger ; RepPfluger,yes
Trey Hunt,Texas 12,Democratic,no,House of representatives,VoteHunt2022,yes
Kay Granger,Texas 12,Republican,yes,House of representatives,RepKayGranger ; GrangerCampaign,yes
Ryan Catala,Texas 12,Republican,no,House of representatives,Catala4Congress,no
Alysia Rieg,Texas 12,Republican,no,House of representatives,alysiarieg,no
Kathleen Brown,Texas 13,Democratic,no,House of representatives,Kat4District13,yes
Ronny Jackson,Texas 13,Republican,yes,House of representatives,RonnyJacksonTX ; RepRonnyJackson,yes
Mikal Williams,Texas 14,Democratic,no,House of representatives,MikalDWilliams,yes
Eugene Howard,Texas 14,Democratic,no,House of representatives,VisionaryHoward,no
Randy Weber,Texas 14,Republican,yes,House of representatives,TXRandy14 ; WeberforTexas,yes
Keith Casey,Texas 14,Republican,no,House of representatives,NA,no
Ruben Landon Dante,Texas 14,Republican,no,House of representatives,RubenLDante,no
Ruben Ramirez,Texas 15,Democratic,no,House of representatives,rubentx15,
Michelle Vallejo,Texas 15,Democratic,no,House of representatives,MichelleVforTX,
Eliza Alvarado,Texas 15,Democratic,no,House of representatives,NA,no
Julio Garza,Texas 15,Democratic,no,House of representatives,JulioforTexas29,no
John Rigney,Texas 15,Democratic,no,House of representatives,RigneyTeam,no
Vanessa Tijerina,Texas 15,Democratic,no,House of representatives,NA,no
Monica de la Cruz,Texas 15,Republican,no,House of representatives,monica4congress,yes
Sara Canady,Texas 15,Republican,no,House of representatives,Canady4Congress,no
Aizar Cavazos,Texas 15,Republican,no,House of representatives,AizarCavazosTX,no
Vangela Churchill,Texas 15,Republican,no,House of representatives,ForChurchill,no
Mauro Garza,Texas 15,Republican,no,House of representatives,TexansforM,no
Angela Juarez,Texas 15,Republican,no,House of representatives,NA,no
Ryan Krause,Texas 15,Republican,no,House of representatives,NA,no
John Lerma,Texas 15,Republican,no,House of representatives,NA,no
Steve Schmuker,Texas 15,Republican,no,House of representatives,NA,no
Veronica Escobar,Texas 16,Democratic,yes,House of representatives,vgescobar ; RepEscobar,yes
Deliris Montanez Berrios,Texas 16,Democratic,no,House of representatives,DmbFor,no
Irene Armendariz-Jackson,Texas 16,Republican,no,House of representatives,ArmendarizDis16,yes
Mary Jo Woods,Texas 17,Democratic,no,House of representatives,MaryJo_TX17,yes
Pete Sessions,Texas 17,Republican,yes,House of representatives,PeteSessions ; SessionsTX17,yes
Paulette Carson,Texas 17,Republican,no,House of representatives,Carson4Tx,no
Jason Nelson,Texas 17,Republican,no,House of representatives,Storm4Congress,no
Rob Rosenberger,Texas 17,Republican,no,House of representatives,VoteRosenberger,no
Sheila Jackson Lee,Texas 18,Democratic,yes,House of representatives,sjl4hrc ; JacksonLeeTX18,yes
Carmen Maria Montiel,Texas 18,Republican,no,House of representatives,CarmenMaMontiel,yes
TBD,Texas 19,Democratic,no,House of representatives,,
Jodey Arrington,Texas 19,Republican,yes,House of representatives,JodeyArrington ; RepArrington,yes
Joaquin Castro,Texas 20,Democratic,yes,House of representatives,Castro4Congress ; JoaquinCastrotx,yes
Kyle Sinclair,Texas 20,Republican,no,House of representatives,Kylefor20,yes
Ricardo Villareal,Texas 21,Democratic,no,House of representatives,RVillarrealTX21,
Claudia Zapata,Texas 21,Democratic,no,House of representatives,PoderConClaudia,
David Anderson Jr.,Texas 21,Democratic,no,House of representatives,DLAndersonJrTX,no
Coy Branscum,Texas 21,Democratic,no,House of representatives,coybranscum,no
Cherif Gacis,Texas 21,Democratic,no,House of representatives,CherifGacis,no
Michael Smith,Texas 21,Democratic,no,House of representatives,NA,no
Scott Sturm,Texas 21,Democratic,no,House of representatives,SturmNextTerm,no
Chip Roy,Texas 21,Republican,yes,House of representatives,chiproytx ; RepChipRoy,yes
Michael French,Texas 21,Republican,no,House of representatives,NA,no
Robert Lowry,Texas 21,Republican,no,House of representatives,DrRobertLowry,no
Dana Zavorka,Texas 21,Republican,no,House of representatives,NA,no
Jamie Kaye Jordan,Texas 22,Democratic,no,House of representatives,NA,
Troy Nehls,Texas 22,Republican,yes,House of representatives,SheriffTNehls ; RepTroyNehls,yes
Gregory Thorne,Texas 22,Republican,no,House of representatives,gjt2022,no
John Lira,Texas 23,Democratic,no,House of representatives,LiraForCongress,yes
Priscilla Golden,Texas 23,Democratic,no,House of representatives,NA,no
Tony Gonzales,Texas 23,Republican,yes,House of representatives,TonyGonzales4TX ; RepTonyGonzales,yes
Alma Arredondo-Lynch,Texas 23,Republican,no,House of representatives,arredondo_lynch,no
Alia Garcia,Texas 23,Republican,no,House of representatives,ureste4congress,no
Derrik Gay,Texas 24,Democratic,no,House of representatives,derrikgay,
Jan McDowell,Texas 24,Democratic,no,House of representatives,JanForCongress,
Kathy Fragnoli,Texas 24,Democratic,no,House of representatives,Kathy4Congress,no
Beth Van Duyne,Texas 24,Republican,yes,House of representatives,Bethvanduyne ; RepBethVanDuyne,yes
Nate Weymouth,Texas 24,Republican,no,House of representatives,NateWeymouth,
TBD,Texas 25,Democratic,no,House of representatives,NA,
Roger Williams,Texas 25,Republican,yes,House of representatives,RogerWilliamsLD ; RepRWilliams,yes
TBD,Texas 26,Democratic,no,House of representatives,NA,
Michael Burgess,Texas 26,Republican,yes,House of representatives,michaelcburgess ; MikePBurgess,yes
Brian Brazeal,Texas 26,Republican,no,House of representatives,BrazealforTexas,no
Vincent Gallo,Texas 26,Republican,no,House of representatives,Gallo4Congress,no
Raven Harrison,Texas 26,Republican,no,House of representatives,raven4congress,no
Isaac Smith,Texas 26,Republican,no,House of representatives,NA,no
Maclovio Perez,Texas 27,Democratic,no,House of representatives,NA,yes
Victor Melgoza,Texas 27,Democratic,no,House of representatives,NA,no
Anthony Tristan,Texas 27,Democratic,no,House of representatives,anthonyjtristan,no
Michael Cloud,Texas 27,Republican,yes,House of representatives,MichaelJCloud ; RepCloudTX,yes
Andrew Alvarez,Texas 27,Republican,no,House of representatives,NA,no
A.J. Louderback,Texas 27,Republican,no,House of representatives,LouderbackAj,no
Chris Mapp,Texas 27,Republican,no,House of representatives,ckmapp,no
Eric Mireles,Texas 27,Republican,no,House of representatives,NA,no
Jessica Cisneros,Texas 28,Democratic,no,House of representatives,JCisnerosTX,
Henry Cuellar,Texas 28,Democratic,yes,House of representatives,RepCuellar ; CuellarCampaign,
Tannya Benavides,Texas 28,Democratic,no,House of representatives,TannyaforTexas,no
Cassy Garcia,Texas 28,Republican,no,House of representatives,CasandraLGarcia,
